user, Titanic,Matrix,WALL-E,Men in Black,A Beautiful Mind,Star Trek Nemesis,The godfather,Pirates of the Carribean: Black Pearl,Sex and the City (film),Harry Potter and the Deathly Hallows 2,Life of Brian,Pulp Fiction,Alien,Petelinji zajtrk,Rocky,American Pie,Schindlers List,Ice Age: Dawn of the Dinosaurs
deki,4,5,?,4,?,?,4,3,1,1,?,4,?,?,3,3,5,3
Janez,?,3,4,4,3,?,5,5,2,4,5,3,?,3,2,2,?,5
Slovenc,3,4,3,4,4,3,?,4,1,3,?,?,?,4,3,2,3,3
Rak,3,5,?,4,?,2,?,?,2,4,?,?,?,?,3,5,?,?
patriotka,3,3,2,2,4,?,5,4,?,3,?,5,?,3,2,4,5,4
ATom,4,5,5,5,5,3,5,5,?,?,5,?,4,?,?,1,5,4
ivek,3,5,5,4,2,4,3,4,1,1,?,?,4,3,3,5,2,4
miso,3,5,4,?,4,?,?,5,2,5,?,?,3,?,5,4,?,4
ziga,3,3,?,2,4,?,5,2,?,?,?,5,?,2,2,2,?,2
nepoznalec,4,?,4,4,?,?,?,3,1,3,?,?,?,4,3,3,?,3
mx,3,5,?,4,4,4,5,2,1,1,5,5,2,?,3,1,5,1
blazb,5,3,5,3,?,?,4,3,1,4,3,?,?,?,?,3,4,4
jure,4,?,?,2,?,?,?,4,?,4,?,?,3,2,3,2,4,4
saso,3,5,?,5,?,?,?,4,?,5,?,4,4,?,4,3,5,?
Vida,3,2,5,4,?,?,2,?,3,?,?,?,?,1,2,1,4,5
sasha,3,0,0,0,0,3,0,0,2,0,5,0,4,0,4,0,0,3
majcn,5,4,0,2,0,0,0,5,0,5,0,0,0,1,0,3,0,5
zidar,1,3,5,3,5,4,0,2,0,1,0,5,5,0,2,1,1,5
mrbean,3,3,2,3,5,4,4,3,0,1,0,4,0,2,1,3,0,4
zm12345,4,4,2,2,5,2,5,3,0,2,3,4,2,4,0,0,5,0
HairyFotr,0,5,5,4,5,0,0,2,0,3,5,4,5,0,3,0,0,0
Duco,3,5,0,3,4,0,5,2,0,2,4,5,5,0,3,2,4,0
HIP_HOP,5,5,4,4,5,4,5,5,0,0,0,5,4,5,3,3,4,5
X,2,5,3,4,5,5,5,2,2,3,0,0,4,0,0,4,5,3
Karlos,5,5,4,4,5,0,0,5,0,0,0,0,2,4,5,3,0,2
smotko,3,4,5,4,5,0,4,3,1,0,0,5,4,3,0,1,5,1
abcd,3,3,0,4,0,0,0,4,4,0,0,0,0,0,0,2,0,4
anika,4,0,0,3,4,0,2,5,1,0,4,2,3,4,5,3,4,5
Vatreni,4,5,5,3,5,0,5,4,0,0,5,0,4,3,3,3,5,3
Student n,0,5,0,3,4,0,0,0,0,0,5,0,3,2,0,2,0,0
ddrrt,4,5,4,3,3,0,2,4,0,0,4,5,5,0,3,0,4,3
ThePav,3,5,5,4,0,0,5,5,0,4,4,0,4,0,0,0,5,3
klobasa,3,4,5,3,0,0,5,5,0,0,0,5,4,0,0,3,5,4
kiwi,4,5,0,4,0,0,5,3,0,4,0,5,0,0,0,2,5,4
seven,5,5,5,4,4,3,5,4,2,3,5,5,5,4,4,5,4,3
gupi,3,0,0,2,5,0,5,3,3,0,0,0,0,4,3,3,5,4
Ish,5,0,0,0,2,0,0,5,3,5,3,0,0,1,0,0,0,3
Benjamin,4,5,0,4,5,0,5,3,0,5,0,5,0,4,5,3,5,4
marko,4,5,3,3,5,4,4,4,1,3,0,5,5,0,4,2,5,3
Batman,3,5,4,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3
Andrej,3,5,5,0,5,0,5,5,0,5,4,0,5,0,0,0,0,4
swizec,5,4,5,4,5,0,3,5,0,0,5,2,5,0,4,3,4,0
LorD_D'DooM,2,3,5,1,0,4,5,3,0,1,0,5,5,0,0,1,5,4
dwww,3,4,3,4,4,2,3,2,1,1,3,4,4,1,3,2,5,4
shroomz,3,5,5,5,0,0,5,4,2,4,5,5,0,1,2,3,5,4
MC,3,4,4,2,5,0,5,5,0,2,0,5,4,0,4,1,0,2
voter007,3,4,0,5,0,0,0,5,0,3,5,0,0,1,5,4,0,5
Voter003,0,3,3,4,0,0,3,5,0,2,0,3,0,4,0,4,0,5
sedmica,3,3,5,4,4,0,0,4,2,4,0,0,3,4,1,5,0,3
uawe,3,5,0,2,4,0,5,0,1,3,4,5,3,3,4,2,4,0
lotus,2,5,4,5,4,3,4,4,1,3,0,5,1,5,3,4,5,4
agent007,4,5,3,4,4,0,0,5,0,3,0,0,0,4,5,4,3,5
Klemen K,5,5,2,3,3,?,5,2,1,1,?,5,5,2,2,4,5,2
bq, 2,4,2,?,3,?,5,3,?,3,?,5,4,3,?,1,5,2
motika,?,5,3,5,?,?,?,3,?,2,?,2,5,?,?,4,?,3
ad,4,4,?,4,3,?,3,5,2,?,4,4,?,3,3,4,?,4
Haris Loncar,3,5,4,4,4,?,?,5,2,5,?,3,3,?,4,3,4,3
Rdelca Kapica,4,5,5,5,?,?,4,5,?,5,?,?,?,5,5,5,5,5
Mark, 3,?,?,?,?,?,?,4,?,4,4,?,?,?,?,3,?,3
Kat, 3,3,3,4,?,?,4,4,2,4,?,5,4,?,3,3,?,4
sgifedhw,3,5,?,3,4,?,?,3,3,4,?,?,?,3,5,5,?,?
frogec,5,4,?,4,?,?,?,5,1,3,4,5,?,?,4,3,?,3
IceTea,4,5,?,3,?,?,?,5,?,5,?,?,3,2,?,3,?,4
Jz42,3,4,3,3,?,?,5,3,?,4,?,?,?,2,2,4,?,3
GP,4,4,2,4,4,?,5,3,3,2,?,5,4,1,4,2,5,3
robertcv,3,4,4,5,5,?,5,5,?,3,?,?,?,?,5,3,?,2
frenkie,4,4,3,4,4,?,5,4,2,4,?,?,?,?,4,4,?,3
